Asher W.,"New York, NY",6/19/2019,5.0,"I've literally walked by ABC kitchen every day for 5 years and said ""I've gotta try that place sometime."" ""I've eaten at every other great restaurant in Flatiron, why haven't I been to ABC?""Well the other night we finally made it to ABC Kitchen, and damn do we regret waiting this long. We started at the bar. I had a marg which I asked them to rim with their adobo chili salt. My girlfriend and her mother drank wine. The marg was solid, great kick from the chipotle infused salt. The bar was very nice. We were seated shortly after. Our waitress (though I can't remember her name) was an absolutely sweetheart. Not only was she kind and funny but very knowledgeable and opinionated when it came to the menu. We love opinionated waiters because any smart diner knows that nobody knows the food better than the people who serve it and eat it daily, so we often ask for advice when we are having an internal dilemma while choosing between various delicious sounding dishes. With her expertise we arrived at the starting line with the carrot avo salad and the pea soup. The carrot avo salad was honestly one of my favorite but simplest things of the night. The salad was light yet had a very developed flavor thanks to the cooking of the carrots and the application of some kind of delicious oil, though I couldn't tell what, as well as a healthy hit of acid. The pea soup was light and vegetal but very flavorful and satisfying thanks to the addition of mint. Next we immersed ourselves in the steamed artichoke. This thing was a hoss. It was basically an artichoke, completely bloomed open like a flower, steamed to perfection until the heart was fork tender and the leaves nice and soft, and then filled almost like you would fill a bowl with about a quarter inch of spices and a mustard vinaigrette. It was buttery and acidic and just all around divine. We dipped the leaves in the center well of vinaigrette then demolished the heart. The whole dish is edible so we didnt leave a scrap beyond the spent leaves. Highly recommended. Definitely my favorite dish of the night. My girlfriend and her mother split the ricotta ravioli and the campanelle with spring peas and pistachio pesto. I didn't try the ravioli but the campanelle was quite good. Cooked well and the peas were left only partially pureed, some whole, so it added lots of texture. Textbook pasta dish. I ate the black sea bass with chilis and potatoes at the advice of our waitress. It says it comes in a herb broth, but I would call this more of a fumè. And thats a good thing. This was a perfectly crispy bass in the lightest but most flavorful broth Ive maybe ever had. Perfectly executed with nice globules of glistening fat floating on the surface. My god it was existential. If you're a fish lover (which I'm not necessarily) you must get this. It was easily one of the top 3 fish dishes I've ever had. The fish was so tender and the broth really just set it apart. We ended with the apricot crumble, which was very tasty, sweet but tart from the apricots. And a cookie plate, which I probably would skip next time in favor of some of the more unique desserts on the menu. Overall, service was excellent. The staff were incredibly helpful and kind. The atmosphere was spot on. And we had a lovely dinner. Will absolutely 100% be back soon."
Jenn L.,"Jersey City, NJ",7/10/2019,4.0,"Came out here for a team lunch reservation. I ordered a Housemade Ricotta Ravioli which was drenched in cheese with a few layers of Ravioli. It was really good, I inhaled that meal in a matter of minutes.I was a bit worried that I would still be hungry because there wasn't a lot of ravioli and I managed to be one of the first ones to finish but I did get full by the end. Partially is most likely due to indulging in bread and family style appetizers prior too. Would rather recommend a burger or something more filling if you're worried about still being hungry.They also offer prefix menus - so I'd probably go for that if I were to go back w/o company pay.Overall, the restaurant has a lovely formal setting and service was great."
Marian M.,"Vicente López, Argentina",7/3/2019,4.0,"I did enjoy very much this restaurant! The deco is amazing, the food was really good, it is in the middle of Union Square. We did had 90 minutes waiting, yes it was long but as we were travelling we did some walking around and came back when they called us and our table was ready.Disfrute muchísimo este restaurante! La deco es divina, la comida muy buena, queda en el medio de Union Square. Si tuvimos 90 minutos de espera, si fue largo pero como estábamos paseando, caminamos un poco por ahí hasta que volvimos porque nos llamaron que nuestra mesa estaba lista."
Brandon E.,"Providence, RI",6/26/2019,4.0,"It was very good - but nothing jumps out from the brunch we had. We sampled most of the options and there were yummy, but tbh, was expecting this to earn the 5th star and just didn't seem to get there in my (overly critical) book. Still worth a visit or two nonetheless!"
Lauren G.,"Bridgewater, NJ",6/3/2019,5.0,"When you walk in it's super romantic - very cabin chic. The smells reminds me of an older fireplace but is so comforting. My one dislike was when we were seated behind us was a store! I'm not sure what storeOpens up into this restaurant but it's a weird design and kind of ruins the romance of it all. What are you going toDo! Space is limited in Manhattan. My cucumber martini was very good. Portion size for appetizers varies but is smaller. We opted to share a bunch of apps instead of ordering meals. Calamari was good, housemade ricotta was phenomenal and the bread was super good and fresh. We ordered the tuna as well which was so fresh! So another disappointment for me was the side of the crab toast- it was one piece of bread cut into 4 pieces. The flavors were on point but it was sooo small! ThisPlace is not cheap by any means but really enjoyed my night here"
Freeyah-Knycky C.,"Brooklyn, NY",5/12/2019,4.0,"I think there are three of them. Three ABCs. I passed through the restaurant of ABC Cocina on my to ABC Kitchen and then the wonderful Emily told me there was also ABCV (the vegan restaurant). ABC Cocina was dimly lit throughout, even making getting to the toilet a serious task on those steps for old four eyes. Back upstairs and had to pass all the couples dining to locate ABC Kitchen and it was like a whole different world. Kitchen is bright and tastefully decorated. (hey there's a decor store above this restaurant, could it be they own errrythang around here?) As I was saying it's chic, modern with a real airy, casual yet elegant feel. From my food selection of crab toast (came highly recommended), calamari and beef burger I enjoyed the burger the best, something I don't say often. Emily said it was some type of special beef but they buried me deep under libations so I cannot to save a life remember a word of what she said about that beef. Emily though, so knowledgeable, accomodating, professional and an overall boss at what she does. Well done sistah! Don't worry, I'ma see your name on my telly soon! Thanks for a wonderful evening. ABC. The End."
Neelum K.,"Jersey City, NJ",6/24/2019,4.0,"This is an awesome place to go with a group.  The service is so generous - they give you all the time you desire and come only when you need them.  I like that!  We were here for 3 hours on a Saturday (you must make a reservation or this is not an option), and tried many items ""family style"".  I LOVED the squash blossom pizza!  OMG I will come back just for that and NOT share it with anyone!  Burger was good, meat and cheese platter was also good.  What is GREAT are the drinks.  I have a feeling everything on the menu here is pretty amazing.  Also, the Union Square farmers market is right there, so its a nice way to spend a Saturday in the city."
Tamira G.,"Brooklyn, NY",5/2/2019,5.0,"The Burger! I'm coming back for it !I went here with a friend on Tuesday night.  I would recommend making reservation..that way you can guarantee yourself and your party a seat. Even though we didn't make reservation we were still seated quickly. The hostesses were really sweet and personable.The decor is beautiful, dim lit and intimate in the main dining room. The cafe has an airy look too it. It is different from the main dining room of ABC Kitchen but it is still nice. Our waiter was very knowledgable and gave us great recommendations.We order the campanelle and pesto. I thought it could use a pinch of salt but was pretty good. NOW the burger that I ordered for my main was soo good. Im afraid Im just going to have to return to have it again. My friend ordered the salmon. It got good reviews. The Chenin Blanc is always my go to and is never a disappointment. The ginger lemon soda came in handy since I have a bit of a sore throat. Overall good reviews from me."
Jose P.,"Washington, DC",4/16/2019,4.0,"After a year we came back to ABC kitchen. I ordered the same dish as last year - bunless burger with a side salad. It did not live up to the one from last year, but still good. I am dropping from 5 to 4 stars for a few reasons. 1. Last year the price for the burger was very high but totally worth it. This year it was still very high priced but it was not as good make it less worth the price. 2. Although all the servers were very nice, we had three different servers. Not sure why they kept shifting but they would always introduce their replacement.  3. The food was still good. 4.  The place is still very nice. Very well decorated."
Tiffanii C.,"New York, NY",4/7/2019,5.0,"Came here with a friend who was visiting the city for Sunday brunch. We made sure to book a reservation ahead of time as I heard about the super long waiting times on Yelp. Nonetheless, we had to wait about 10 minutes or so as our table wasn't ready yet, which wasn't a problem.We got a variety of dishes: Buttermilk and Crawford Cheddar biscuits, Crab Toast with Lemon Aioli, Smoked Salmon with Horseradish, Creme Fraiche and Lemon, and Eggs Benedict with Flying Pigs Farm Ham. I loved each single dish we had (minus the Smoked Salmon as I don't like Smoked Salmon but my friend absolutely loved it!)! The biscuits were buttery, flaky-ish, and overall indulgent in taste and texture. I personally preferred it without the butter but my friend loved it with the addition of butter so definitely try that. You could also really taste the cheddar and overall, it was just an amazing assortment of flavors. I saw that the Crab Toast with Lemon Aioli was a big hit on Yelp and the reviews were right on point! The crab chunks were beautifully fresh, moist (sorry but true), soft, and delicious. The lemon juice added a wonderful tang to the dish as well as the lemon aioli. The buttery toast also gave such a nice crunch and flavor. I highly recommend getting this!The Eggs Benedict was also a wonderful dish. The saltiness of the ham paired with the mildly seasoned egg really went well together. The eggs were perfectly cooked with a beautifully runny yolk. The hollandaise sauce was also really silky and creamy and made the overall dish a flavor bomb. The diced potatoes were also nicely flavored, so I give this dish a huge thumbs up as well!Overall, this is a nice place to dine with visiting friends, relatives, or even with a date hehe. It's not the cheapest restaurant, but the price is worth it in my opinion."
